epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,935.429,0.37704,0.1575,0.90555,0.99572,0.99682,0.99497,0.92641,0.32537,0.12602,0.89889,0.000371491,0.000371491,0.000371491
159,1001.33,0.38098,0.16286,0.90525,0.99373,0.99486,0.99494,0.93091,0.31422,0.12635,0.88861,0.000363239,0.000363239,0.000363239
160,1064.98,0.37132,0.15977,0.90147,0.99591,0.99713,0.99494,0.92931,0.31316,0.12053,0.8925,0.000354988,0.000354988,0.000354988
161,1127.6,0.36713,0.1609,0.90388,0.99712,0.99651,0.99497,0.93137,0.30662,0.11623,0.89123,0.000346736,0.000346736,0.000346736
162,1190.03,0.3771,0.15901,0.90417,0.99474,0.99713,0.99494,0.92975,0.31184,0.12096,0.89121,0.000338484,0.000338484,0.000338484
163,1252.08,0.36699,0.15913,0.89949,0.99247,0.99685,0.99494,0.93285,0.30607,0.1198,0.88918,0.000330233,0.000330233,0.000330233
164,1314.29,0.36662,0.16298,0.90499,0.99712,0.99645,0.99494,0.932,0.30334,0.12071,0.88969,0.000321981,0.000321981,0.000321981
165,1376.79,0.36445,0.15875,0.90126,0.99708,0.99207,0.99491,0.93285,0.30605,0.12581,0.89085,0.000313729,0.000313729,0.000313729
166,1439.1,0.37242,0.1568,0.90392,0.98701,0.99713,0.99486,0.92938,0.30882,0.12875,0.89088,0.000305478,0.000305478,0.000305478
167,1500.93,0.3571,0.15314,0.89552,0.98989,0.99664,0.99487,0.93103,0.30518,0.12721,0.8911,0.000297226,0.000297226,0.000297226
168,1562.64,0.37127,0.16293,0.89926,0.9985,0.99713,0.995,0.92905,0.30816,0.12286,0.89297,0.000288974,0.000288974,0.000288974
169,1624.59,0.35772,0.15325,0.89685,0.99159,0.99668,0.99494,0.92983,0.31016,0.12677,0.89379,0.000280723,0.000280723,0.000280723
170,1686.22,0.36037,0.14831,0.89701,0.9992,0.99138,0.99494,0.92775,0.31711,0.12746,0.89591,0.000272471,0.000272471,0.000272471
171,1748.29,0.35822,0.15541,0.89547,0.99859,0.99713,0.995,0.92843,0.31429,0.12701,0.894,0.00026422,0.00026422,0.00026422
172,1810.3,0.35464,0.14704,0.8984,0.98888,0.99425,0.99491,0.92797,0.3184,0.13468,0.89605,0.000255968,0.000255968,0.000255968
173,1872.87,0.3539,0.15576,0.89199,0.99954,0.99425,0.99494,0.92909,0.31841,0.12656,0.89467,0.000247716,0.000247716,0.000247716
174,1935.58,0.34825,0.15034,0.89209,0.99797,0.99655,0.995,0.92613,0.32077,0.12779,0.89604,0.000239465,0.000239465,0.000239465
175,1997.92,0.35716,0.15015,0.90192,0.99427,0.99602,0.99494,0.92838,0.31303,0.12734,0.8922,0.000231213,0.000231213,0.000231213
176,2060.46,0.34933,0.15403,0.89708,0.99604,0.99672,0.995,0.92849,0.31278,0.12563,0.89325,0.000222961,0.000222961,0.000222961
177,2122.81,0.35594,0.14866,0.89512,0.99641,0.99713,0.99497,0.92621,0.31288,0.12485,0.89196,0.00021471,0.00021471,0.00021471
178,2184.91,0.3484,0.14895,0.89313,0.99711,0.99339,0.99486,0.92734,0.30898,0.1316,0.89123,0.000206458,0.000206458,0.000206458
179,2247.4,0.3534,0.14755,0.89754,0.99525,0.99694,0.995,0.92692,0.31164,0.12113,0.89359,0.000198206,0.000198206,0.000198206
180,2309.66,0.34429,0.14328,0.88971,0.99274,0.99713,0.99497,0.92646,0.31567,0.12469,0.89627,0.000189955,0.000189955,0.000189955
181,2372.09,0.34532,0.14073,0.88596,0.99438,0.99661,0.99497,0.92674,0.31457,0.10227,0.89522,0.000181703,0.000181703,0.000181703
